epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,131.513,1.9507,4.00778,0.00797,0.95911,0.06544,0.10953,0.05153,1.78579,3.31787,0.00979,0.000252773,0.000252773,0.000252773
2,268.203,1.68475,2.63814,0.00663,0.385,0.25148,0.25155,0.14153,1.48414,2.34731,0.00762,0.000499026,0.000499026,0.000499026
3,404.88,1.61811,2.17594,0.00625,0.39585,0.47009,0.40855,0.24035,1.4321,1.92712,0.0073,0.000735128,0.000735128,0.000735128
4,558.198,1.562,1.87594,0.00585,0.44306,0.52732,0.53899,0.30944,1.54505,1.69091,0.00774,0.000723321,0.000723321,0.000723321
5,703.077,1.53003,1.6975,0.00575,0.73242,0.54046,0.62012,0.37437,1.45843,1.46442,0.00733,0.000708095,0.000708095,0.000708095
6,855.507,1.51488,1.54777,0.00557,0.58886,0.60607,0.61719,0.37123,1.46371,1.3483,0.00775,0.000692869,0.000692869,0.000692869
7,1009.5,1.48675,1.42224,0.00554,0.6658,0.60285,0.65167,0.40488,1.39392,1.30036,0.00696,0.000677643,0.000677643,0.000677643
8,1163.31,1.45352,1.33652,0.0053,0.6748,0.65431,0.69236,0.43048,1.38107,1.2075,0.00725,0.000662417,0.000662417,0.000662417
9,1328.52,1.4238,1.25599,0.00538,0.63925,0.65598,0.69682,0.44091,1.38437,1.23321,0.00715,0.00064719,0.00064719,0.00064719
10,1490.34,1.4133,1.17646,0.00522,0.67214,0.68488,0.69821,0.44622,1.35052,1.13012,0.00714,0.000631964,0.000631964,0.000631964
11,1661.5,1.40349,1.12887,0.00508,0.68112,0.68461,0.73127,0.46123,1.34766,1.02171,0.00691,0.000616738,0.000616738,0.000616738
