epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,150.258,1.82532,3.95673,0.0086,0.56756,0.17671,0.13806,0.07642,1.64773,2.78845,0.00792,0.000255209,0.000255209,0.000255209
2,290.219,1.60159,2.68187,0.00724,0.36243,0.34607,0.34674,0.18102,1.66917,2.22427,0.00825,0.0004609,0.0004609,0.0004609
3,436.871,1.57959,2.21073,0.00692,0.62206,0.37615,0.47195,0.25539,1.57172,1.79178,0.00795,0.000615836,0.000615836,0.000615836
4,588.039,1.51811,1.92085,0.00644,0.67114,0.5123,0.56531,0.32481,1.53345,1.57631,0.00749,0.000540607,0.000540607,0.000540607
5,742.033,1.48944,1.71169,0.00644,0.56835,0.6607,0.59762,0.34286,1.55001,1.46289,0.00751,0.000464476,0.000464476,0.000464476
6,897.224,1.47491,1.57561,0.00618,0.62308,0.67249,0.61428,0.36388,1.51299,1.38597,0.00744,0.000388345,0.000388345,0.000388345
7,1062.62,1.42958,1.43869,0.00609,0.62028,0.65302,0.623,0.37815,1.47213,1.27371,0.00718,0.000312214,0.000312214,0.000312214
8,1229.41,1.40332,1.34357,0.00579,0.66138,0.65956,0.64022,0.3937,1.43139,1.24239,0.00712,0.000236083,0.000236083,0.000236083
9,1400.51,1.3839,1.27961,0.00569,0.64288,0.64954,0.65193,0.40752,1.40511,1.19839,0.00702,0.000159952,0.000159952,0.000159952
10,1570.76,1.37103,1.26042,0.00555,0.64029,0.70133,0.66921,0.41623,1.40195,1.19065,0.00698,8.3821e-05,8.3821e-05,8.3821e-05
